,yield,gen,year,site
1,47.5,Manchuria,1927,StPaul
2,45.4,Glabron,1927,StPaul
3,45,Svansota,1927,StPaul
4,43.4,Velvet,1927,StPaul
5,60.2,Trebi,1927,StPaul
6,45.2,ManxSA,1927,StPaul
7,50.3,SAxMan,1927,StPaul
8,49,Peatland,1927,StPaul
9,45.9,Colsess,1927,StPaul
10,49.4,Heinrichs,1927,StPaul
11,51.8,Manchuria,1927,Duluth
12,56,Glabron,1927,Duluth
13,41.9,Svansota,1927,Duluth
14,60,Velvet,1927,Duluth
15,65.1,Trebi,1927,Duluth
16,53.2,ManxSA,1927,Duluth
17,62.9,SAxMan,1927,Duluth
18,56.4,Peatland,1927,Duluth
19,62.5,Colsess,1927,Duluth
20,41.3,Manchuria,1927,Waseca
21,39.4,Glabron,1927,Waseca
22,36.3,Svansota,1927,Waseca
23,39.8,Velvet,1927,Waseca
24,53.8,Trebi,1927,Waseca
25,42.9,ManxSA,1927,Waseca
26,42.7,SAxMan,1927,Waseca
27,45.4,Peatland,1927,Waseca
28,35.6,Colsess,1927,Waseca
29,30.4,Glabron,1927,GrandRapids
30,32.1,Svansota,1927,GrandRapids
31,20.1,Velvet,1927,GrandRapids
32,17.2,Trebi,1927,GrandRapids
33,32.7,ManxSA,1927,GrandRapids
34,14.9,Peatland,1927,GrandRapids
35,26.9,Colsess,1927,GrandRapids
36,43.6,Manchuria,1927,Morris
37,50,Glabron,1927,Morris
38,49.1,Svansota,1927,Morris
39,45.6,Velvet,1927,Morris
40,54.6,Trebi,1927,Morris
41,52.3,ManxSA,1927,Morris
42,31.3,SAxMan,1927,Morris
43,45.4,Peatland,1927,Morris
44,41.9,Colsess,1927,Morris
45,26,Manchuria,1927,Crookston
46,27.6,Glabron,1927,Crookston
47,32.8,Velvet,1927,Crookston
48,36.8,Trebi,1927,Crookston
49,25.9,ManxSA,1927,Crookston
50,31.9,SAxMan,1927,Crookston
51,39.8,Peatland,1927,Crookston
52,34.2,Svansota,1927,Crookston
53,28.1,Colsess,1927,Crookston
54,32.9,Manchuria,1928,StPaul
55,30.1,Glabron,1928,StPaul
56,38.1,Svansota,1928,StPaul
57,28.4,Velvet,1928,StPaul
58,34.1,Trebi,1928,StPaul
59,31.8,ManxSA,1928,StPaul
60,37.5,SAxMan,1928,StPaul
61,34.8,Peatland,1928,StPaul
62,31.5,Colsess,1928,StPaul
63,39.3,Heinrichs,1928,StPaul
64,36.3,Manchuria,1928,Duluth
65,37,Glabron,1928,Duluth
66,22.5,Svansota,1928,Duluth
67,38,Velvet,1928,Duluth
68,41.3,Trebi,1928,Duluth
69,35.1,ManxSA,1928,Duluth
70,39.6,SAxMan,1928,Duluth
71,35.5,Peatland,1928,Duluth
72,34.4,Colsess,1928,Duluth
73,57.4,Manchuria,1928,Waseca
74,56.7,Glabron,1928,Waseca
75,55.3,Svansota,1928,Waseca
76,54.9,Velvet,1928,Waseca
77,67.5,Trebi,1928,Waseca
78,58.8,ManxSA,1928,Waseca
79,65.5,SAxMan,1928,Waseca
80,53,Peatland,1928,Waseca
81,55.2,Colsess,1928,Waseca
82,58.9,Heinrichs,1928,Waseca
83,48.1,Dryland,1928,Waseca
84,28.6,Glabron,1928,GrandRapids
85,39.7,Svansota,1928,GrandRapids
86,34.8,Velvet,1928,GrandRapids
87,39.2,Trebi,1928,GrandRapids
